Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
27,Abir R.,8.3 km,2.0,5.4 km,5:21 /km,31 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,8.3,"['5', '21']",5.35,44.405,102,27,31.0
19,Thanna R.,8.1 km,2.0,4.8 km,6:14 /km,29 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,8.1,"['6', '14']",6.233333333333333,50.489999999999995,103,19,29.0
28,Amal B.,8.0 km,2.0,4.8 km,7:16 /km,11 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,8.0,"['7', '16']",7.266666666666667,58.13333333333333,104,28,11.0
29,Miles D.,7.9 km,2.0,5.0 km,8:06 /km,27 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,7.9,"['8', '06']",8.1,63.99,105,29,27.0
20,Walid R.,7.8 km,1.0,7.8 km,4:58 /km,52 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,7.8,"['4', '58']",4.966666666666667,38.74,106,20,52.0
21,Dale L.,7.7 km,1.0,7.7 km,6:41 /km,2 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,7.7,"['6', '41']",6.683333333333334,51.46166666666667,107,21,2.0
30,Ghulam K.,7.3 km,2.0,5.6 km,7:11 /km,65 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,7.3,"['7', '11']",7.183333333333334,52.43833333333333,108,30,65.0
31,Asad N.,7.1 km,2.0,5.0 km,5:39 /km,27 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,7.1,"['5', '39']",5.65,40.115,109,31,27.0
22,Mounir R.,6.8 km,1.0,6.8 km,6:31 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,6.8,"['6', '31']",6.516666666666667,44.31333333333333,110,22,0.0
3,Dhani A.,6.8 km,1.0,6.8 km,9:28 /km,--,2022-11-13 16:18:13.638756,"Houston, TX",,,,,6.8,"['9', '28']",9.466666666666667,64.37333333333333,111,3,0.0
23,Noreen Q.,6.7 km,2.0,3.4 km,5:44 /km,12 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,6.7,"['5', '44']",5.733333333333333,38.413333333333334,112,23,12.0
12,Leena E.,6.7 km,1.0,6.7 km,5:46 /km,3 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,6.7,"['5', '46']",5.766666666666667,38.63666666666667,113,12,3.0
6,Amira F.,6.7 km,2.0,4.9 km,7:09 /km,11 m,2022-11-13 16:18:13.638756,"Detroit, MI",,,,,6.7,"['7', '09']",7.15,47.905,114,6,11.0
11,Sohaib N.,6.7 km,,,5:13 /km,--,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,35m,35.0,6.7,6.7,"['5', '13']",5.216666666666667,34.95166666666667,115,11,0.0
19,Saad A.,6.7 km,2.0,3.5 km,4:43 /km,63 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,6.7,"['4', '43']",4.716666666666667,31.601666666666667,116,19,63.0
32,mikaeel s.,6.6 km,1.0,6.6 km,9:35 /km,33 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,6.6,"['9', '35']",9.583333333333334,63.25,117,32,33.0
24,Rabiya S.,6.4 km,1.0,6.4 km,4:32 /km,5 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,6.4,"['4', '32']",4.533333333333333,29.013333333333335,118,24,5.0
13,Samer H.,6.3 km,3.0,2.2 km,5:04 /km,20 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,6.3,"['5', '04']",5.066666666666666,31.919999999999998,119,13,20.0
21,Ozy A.,6.3 km,1.0,6.3 km,5:12 /km,42 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,6.3,"['5', '12']",5.2,32.76,120,21,42.0
